system:index,date,mean_ST_K,satellite,timestamp,.geo
1_1_1_LT05_149036_19891226,1989-12-26,269.7183036,LANDSAT_5,630651536573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19910420,1991-04-20,288.2429533,LANDSAT_5,672123465889,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19920202,1992-02-02,263.2141171,LANDSAT_5,697006806826,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19920218,1992-02-18,278.3180979,LANDSAT_5,698389196194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19921116,1992-11-16,282.629885,LANDSAT_5,721889809191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19930119,1993-01-19,263.5382084,LANDSAT_5,727419448673,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19930308,1993-03-08,283.9234839,LANDSAT_5,731566676148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19930409,1993-04-09,276.7010595,LANDSAT_5,734331484412,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19930425,1993-04-25,294.5907914,LANDSAT_5,735713893287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19930612,1993-06-12,298.4685724,LANDSAT_5,739861099434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19931018,1993-10-18,289.5624073,LANDSAT_5,750920278017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19931103,1993-11-03,285.4732793,LANDSAT_5,752302672313,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19931205,1993-12-05,279.830192,LANDSAT_5,755067460788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19940327,1994-03-27,287.1081016,LANDSAT_5,764744174167,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19940412,1994-04-12,285.8610916,LANDSAT_5,766126555082,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19940428,1994-04-28,292.8562812,LANDSAT_5,767508938047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19940530,1994-05-30,295.6150132,LANDSAT_5,770273702974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19940701,1994-07-01,298.0025703,LANDSAT_5,773038459764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19940903,1994-09-03,297.9899056,LANDSAT_5,778567959207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19940919,1994-09-19,293.3514158,LANDSAT_5,779950333856,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19941021,1994-10-21,287.5230531,LANDSAT_5,782715076122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19941106,1994-11-06,284.3940646,LANDSAT_5,784097442416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19951024,1995-10-24,285.3667248,LANDSAT_5,814509340782,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19960128,1996-01-28,262.5585039,LANDSAT_5,822803999270,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19960401,1996-04-01,285.7012689,LANDSAT_5,828333854564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19960417,1996-04-17,290.8193374,LANDSAT_5,829716313619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19960706,1996-07-06,292.6069478,LANDSAT_5,836628582695,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19961010,1996-10-10,289.4211913,LANDSAT_5,844923290530,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19970810,1997-08-10,297.0782299,LANDSAT_5,871189627599,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19970911,1997-09-11,296.6186477,LANDSAT_5,873954485136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19970927,1997-09-27,287.6681008,LANDSAT_5,875336912856,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19980509,1998-05-09,290.9119185,LANDSAT_5,894690788353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19980728,1998-07-28,298.8321017,LANDSAT_5,901602847938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19980829,1998-08-29,297.9646954,LANDSAT_5,904367666014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19980914,1998-09-14,295.4383832,LANDSAT_5,905750073047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19980930,1998-09-30,295.1143388,LANDSAT_5,907132477590,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19981101,1998-11-01,286.9875863,LANDSAT_5,909897281405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19981117,1998-11-17,283.9548347,LANDSAT_5,911279689881,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19990205,1999-02-05,276.196749,LANDSAT_5,918191696224,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19990426,1999-04-26,293.4793013,LANDSAT_5,925103670975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_19990816,1999-08-16,298.234868,LANDSAT_5,934780402758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20000327,2000-03-27,286.7228538,LANDSAT_5,954133805736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20000412,2000-04-12,291.3056769,LANDSAT_5,955516213165,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20000428,2000-04-28,292.5679068,LANDSAT_5,956898666009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20000514,2000-05-14,295.950815,LANDSAT_5,958281093616,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20010210,2001-02-10,279.3697927,LANDSAT_5,981782149163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20080418,2008-04-18,290.5547709,LANDSAT_5,1208496301842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20080504,2008-05-04,294.7133333,LANDSAT_5,1209878676470,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20080723,2008-07-23,297.4769305,LANDSAT_5,1216790544036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20080925,2008-09-25,292.8719962,LANDSAT_5,1222320033737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20081011,2008-10-11,291.3603077,LANDSAT_5,1223702402450,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090131,2009-01-31,279.9496788,LANDSAT_5,1233379277777,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090216,2009-02-16,280.609664,LANDSAT_5,1234761702058,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090405,2009-04-05,287.3222561,LANDSAT_5,1238908967361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090421,2009-04-21,291.3430182,LANDSAT_5,1240291386151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090507,2009-05-07,292.2567954,LANDSAT_5,1241673804356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090523,2009-05-23,295.836995,LANDSAT_5,1243056222288,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090608,2009-06-08,287.7560887,LANDSAT_5,1244438639066,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090710,2009-07-10,298.4638912,LANDSAT_5,1247203473475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090726,2009-07-26,298.5852229,LANDSAT_5,1248585888738,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090811,2009-08-11,299.6983319,LANDSAT_5,1249968302728,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090827,2009-08-27,296.6629534,LANDSAT_5,1251350717720,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090912,2009-09-12,296.3251752,LANDSAT_5,1252733131274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20090928,2009-09-28,296.2977849,LANDSAT_5,1254115543076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20091014,2009-10-14,290.946437,LANDSAT_5,1255497953353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20091030,2009-10-30,285.728278,LANDSAT_5,1256880362085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20091217,2009-12-17,271.2399021,LANDSAT_5,1261027585821,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20100118,2010-01-18,277.4610966,LANDSAT_5,1263792396763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20100203,2010-02-03,278.2288897,LANDSAT_5,1265174800443,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20100307,2010-03-07,282.4075303,LANDSAT_5,1267939604772,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20100424,2010-04-24,291.0103387,LANDSAT_5,1272086798952,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20100526,2010-05-26,295.9757123,LANDSAT_5,1274851592092,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20100627,2010-06-27,300.0268699,LANDSAT_5,1277616382266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20100713,2010-07-13,298.3968057,LANDSAT_5,1278998778819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20101017,2010-10-17,291.4269548,LANDSAT_5,1287293143768,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20101102,2010-11-02,286.5904811,LANDSAT_5,1288675537638,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20101204,2010-12-04,280.3920356,LANDSAT_5,1291440336280,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20101220,2010-12-20,275.2995872,LANDSAT_5,1292822740429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20110105,2011-01-05,275.4019397,LANDSAT_5,1294205143467,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20110121,2011-01-21,275.824752,LANDSAT_5,1295587543813,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20110326,2011-03-26,288.9281377,LANDSAT_5,1301117137461,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20110427,2011-04-27,293.6566765,LANDSAT_5,1303881926856,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20110513,2011-05-13,293.6124602,LANDSAT_5,1305264322330,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20110801,2011-08-01,301.5209444,LANDSAT_5,1312176285877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_149036_20110918,2011-09-18,295.1573727,LANDSAT_5,1316323455419,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_148036_20220614,2022-06-14,296.895944,LANDSAT_7,1655179324168,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_148036_20220701,2022-07-01,297.5440743,LANDSAT_7,1656648059471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_148036_20220718,2022-07-18,300.0645664,LANDSAT_7,1658116786584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_148036_20220804,2022-08-04,297.7671151,LANDSAT_7,1659585504073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_148036_20220821,2022-08-21,300.0056678,LANDSAT_7,1661054214607,"{""type"":""MultiPoint"",""coordinates"":[]}"
