,label,mean,median,q1,q3,std,skew,kurt
0,0,926.2762818130482,857.0,649.0,1111.0,443.6628812457113,2.0549100817789134,11.94370751768376
1,1,851.4609950652335,763.0,556.0,1046.0,467.68774470928315,2.2652095474100515,13.060812866084566
2,2,801.7784615087377,695.0,484.0,1015.0,492.87556854322594,2.4042460985763747,13.948813883223522
3,3,811.1452199402161,691.0,474.0,1037.0,526.6766425782628,2.577905393050581,15.163090875411422
4,4,830.8150160700325,693.0,480.0,1059.0,555.116297657811,2.770706478045884,16.43963434532581
5,5,834.5328882628745,681.0,474.0,1066.0,574.4007796411004,2.926438728650894,17.469065012751066
6,6,833.6673080447132,671.0,461.0,1068.0,592.4251566324826,3.01149331052721,18.037926785437577
7,7,826.0083999980711,661.0,444.0,1064.0,605.7567743887781,3.062026195327926,18.42926716959544
8,8,823.8633884787672,657.0,433.0,1066.5,619.4806818691452,3.0978397560731907,18.738628513723373
9,9,830.4447455469511,658.0,430.0,1080.0,636.5155967700816,3.1262216960026152,18.977135959957607
10,10,838.8104326190522,663.0,428.0,1095.0,654.1370986245032,3.1461565172290844,19.145538600353536
11,11,833.6005892479133,659.0,415.0,1091.0,663.4872925621736,3.1614423976665367,19.316316158308407
12,12,834.0463742537781,661.0,406.0,1096.0,675.035474944267,3.1734850341079373,19.464236578959422
13,13,840.1361562795363,667.0,404.0,1106.0,685.8526318340787,3.170961487441376,19.475842294619667
14,14,846.6045657080031,673.0,404.0,1116.0,694.1527143473395,3.1476504780078747,19.2854275925269
15,15,849.1674679912232,675.0,403.0,1121.0,700.0396092053224,3.1203852602139137,19.060388247702097
16,16,858.4567265958062,686.0,406.0,1133.0,706.8669811045133,3.0944704858137806,18.850963544759434
17,17,869.221767290229,699.0,414.0,1146.0,710.9507505885653,3.067980942695181,18.646269222953293
18,18,879.9163612338201,712.0,424.0,1157.0,712.1841651542234,3.0347055821406776,18.372208564253906
19,19,893.6035474708115,728.0,439.0,1169.0,712.724154061546,3.0019839968912767,18.089966582191032
20,20,909.2057059084508,746.0,460.0,1181.0,711.075727535785,2.9822120091053357,17.93322089190862
21,21,929.9122385698923,769.0,491.0,1195.0,707.7144304979231,2.970251089053625,17.850758699913396
22,22,950.5827430064955,792.0,526.0,1206.5,702.01390526679,2.9615201858851474,17.786071322906754
23,23,971.8411276244852,816.0,562.0,1217.0,696.2863232234733,2.953434098851417,17.720218545842215
24,24,999.451221217601,846.0,600.0,1236.0,694.2769917213519,2.9424488311667476,17.673113136074985
25,25,1030.6015372968072,880.0,639.0,1261.0,695.610557185327,2.9120633292829097,17.446795659226833
26,26,1047.4738829361443,901.0,664.0,1271.0,691.3993329570418,2.8699752434756154,17.13366801865778
27,27,1056.2713586497891,914.0,679.0,1275.0,685.0543552668569,2.8177829432582944,16.76298976338504
28,28,1064.141700502474,925.0,692.0,1279.0,680.0798834891383,2.756499835436653,16.33140529230501
29,29,1078.2995746814934,942.0,706.0,1293.0,679.4180262295451,2.6868501140994034,15.813669124849408
30,30,1094.4592842986444,960.0,722.0,1310.0,680.487267048719,2.6096614223261154,15.22654913516678
31,31,1102.6910624385164,971.0,728.0,1322.0,678.9149941707104,2.5273691426910836,14.624256761857291
32,32,1106.2611731574175,977.0,727.0,1331.0,678.0322745092798,2.4402293713747363,13.981460254360414
33,33,1112.8089451476794,984.0,725.0,1347.0,681.7482653507618,2.3458861560164648,13.272774923428862
34,34,1116.5450994575044,989.0,717.0,1362.0,686.3338460428902,2.247942738718908,12.549202551178015
35,35,1117.497497299591,992.0,703.0,1376.0,691.6020064088829,2.152251594204516,11.876218866152467
36,36,1116.5923443407144,992.0,689.0,1388.0,696.4013457045293,2.0567969323865154,11.201563112823283
37,37,1115.9945266122381,992.0,675.0,1397.0,699.9150484760612,1.968090265787775,10.619749498873782
38,38,1115.8872192778986,996.0,665.0,1406.0,701.095654687361,1.8878781143077892,10.131830977235692
39,39,1116.65850424115,1001.0,658.0,1414.0,700.1760652989727,1.8187476080773857,9.757973378528863
40,40,1116.6395332015238,1005.0,654.0,1419.0,697.9603434049382,1.759238352353093,9.468865343520937
41,41,1115.3636745047356,1006.0,649.0,1421.0,695.2423820704843,1.7021694114764703,9.162894042616756
42,42,1116.771701388889,1010.0,647.0,1427.0,694.0432437057523,1.6518752473584648,8.905800227236744
43,43,1120.632833560795,1018.0,646.0,1434.0,694.3886446534258,1.6078886392208995,8.684101361940852
44,44,1126.2566055023751,1027.0,645.0,1445.0,696.5960159215317,1.5732836399394752,8.553042344551104
45,45,1130.3663591692264,1035.0,641.0,1454.0,699.196233330292,1.540712391219307,8.40182472671397
46,46,1129.5805544705331,1038.0,633.0,1457.0,700.1764403102873,1.5131079091596913,8.272732818090473
47,47,1127.2032396824939,1039.0,624.0,1458.0,700.1327182335029,1.4874496849268197,8.150639988046114
48,48,1129.2112080397744,1044.0,622.0,1462.0,701.1542230796211,1.468876165058376,8.092172929993943
49,49,1126.8033166328316,1046.0,619.0,1460.0,698.021580807262,1.4475090909624673,7.987409346565544
50,50,1131.9184922292036,1054.0,621.0,1467.0,699.3907746528021,1.4310577438882501,7.929911567189648
51,51,1139.602802611656,1064.0,622.0,1478.75,704.0361946280934,1.4091100767687228,7.800567641965482
52,52,1141.5962657742587,1069.0,617.0,1484.0,707.1572543513684,1.3876486599812317,7.691329325622775
53,53,1142.271767224751,1072.0,609.0,1490.0,711.0853129563345,1.3647136737976204,7.5561280055343225
54,54,1137.2905426909833,1070.0,598.0,1489.0,712.5414242465055,1.3445484000140107,7.448572529320482
55,55,1132.0174173855598,1067.0,587.0,1486.0,714.1133171003966,1.3308298194975512,7.395741271592078
56,56,1131.6614779237314,1069.0,580.0,1489.0,718.2339396742173,1.3150444672642976,7.3190828832035315
57,57,1133.4061020185752,1073.0,572.0,1497.0,724.9995115973007,1.29543278611862,7.184900361965932
58,58,1132.8000048222982,1074.0,562.0,1503.0,731.3904036009947,1.2843803362429946,7.155797322655405
59,59,1129.1746148096352,1073.0,553.0,1504.0,734.2322281480266,1.2735322446288266,7.138303283376181
60,60,1130.6233549538254,1077.0,549.0,1509.0,737.234923758212,1.2555950409583638,7.0344042369987765
61,61,1136.5035854306616,1085.0,551.0,1518.0,740.3392868288405,1.2408705215396205,6.94936822016066
62,62,1143.1151971066909,1093.0,557.0,1525.0,740.7508413559381,1.231470043164752,6.912240096471505
63,63,1151.8585542970388,1104.0,572.0,1531.0,736.5510739800424,1.227753802419874,6.936232199168159
64,64,1167.3758907993326,1121.0,604.0,1537.0,724.0094256094932,1.2323705848680662,7.046237270999501
65,65,1196.9715331317896,1152.0,662.0,1551.5,708.6425839552751,1.2475378393968535,7.262489751595929
66,66,1242.6713548698167,1198.0,749.0,1582.0,695.4504941531327,1.2657599631992165,7.576349659186506
67,67,1300.3181581485053,1252.0,868.0,1625.0,674.951664114632,1.2810493695648408,8.045039152109656
68,68,1374.7471022179363,1324.0,1002.0,1681.0,653.3131768387501,1.2684121778568942,8.551951094452692
